# Формат: номер|сложность|название|текст_задачи

# ================ ЛЕГКИЕ УРОВНИ (1-9) ================
1|e|Врата подземелья|Перед вами массивные каменные ворота. На них выбита надпись: "Сумма всех чисел от 1 до 5 равна числу, что откроет путь". Введите число.
2|e|Комната свечей|В комнате 7 свечей. 3 погасли. Сколько свечей осталось? Введите число.
3|e|Три ключа|У вас есть три ключа от трёх дверей. Сколько попыток нужно минимум, чтобы гарантированно подобрать ключ к каждой двери? Введите число.
4|e|Зеркальный лабиринт|В лабиринте 4 развилки. На каждой нужно выбрать: налево или направо. Сколько всего возможных путей? Введите число.
5|e|Каменные таблички|На трёх табличках надписи: "Путь здесь", "Пути нет", "Хотя бы одна ложна". Только одна правдива. На какой табличке путь? Введите номер (1, 2 или 3).
6|e|Водяные часы|Есть 5-минутные и 3-минутные часы. Как отмерить 4 минуты? Введите последовательность действий (например: 5-3-5).
7|e|Песочный лабиринт|У вас 8 литров воды, 3-литровый и 5-литровый сосуды. Как получить 4 литра? Введите последовательность переливаний.
8|e|Огненные руны|Руны светятся в последовательности: 2, 4, 8, 16, ? Какое следующее число? Введите число.
9|e|Воздушные потоки|Ветер дует с силой: 1, 1, 2, 3, 5, 8, ? Какое следующее число? Введите число.

# ================ СРЕДНИЕ УРОВНИ (10-19) ================
10|m|Зал статуй|Перед вами 12 статуй. Половина из них - лжецы, половина - правдивые. Первая говорит: "Следующая статуя - лжец". Вторая: "Третья - лжец". И так далее до одиннадцатой. Двенадцатая: "Первая - лжец". Сколько правдивых статуй? Введите число.
11|m|Магические весы|У вас 9 монет, одна фальшивая (легче). Есть весы без гирь. Сколько взвешиваний нужно минимум, чтобы найти фальшивку? Введите число.
12|m|Хронометраж|Часы бьют 6 ударов за 30 секунд. Сколько секунд будут бить 12 ударов? Введите число.
13|m|Кристаллы силы|У вас есть 5 кристаллов разного цвета. Нужно разложить их в 3 шкатулки так, чтобы в каждой был хотя бы один кристалл. Сколько способов? Введите число.
14|m|Звездная карта|На небе 10 звёзд. Каждая соединена с каждой прямой линией. Сколько всего линий? Введите число.
15|m|Рунические врата|На вратах код: число, которое делится на 3, на 4 и на 5 одновременно, и меньше 100. Что за число? Введите число.
16|m|Подземное озеро|В озере растут лилии. Каждый день их количество удваивается. Через 30 дней они покрывают всё озеро. Через сколько дней они покроют половину? Введите число.
17|m|Сфинксова загадка|Что идёт утром на четырёх ногах, днём на двух, вечером на трёх? Введите ответ одним словом (на русском).
18|m|Алхимическая формула|2 + 3 = 10, 7 + 2 = 63, 6 + 5 = 66, 8 + 4 = 96, 9 + 7 = ? Какое число? Введите число.
19|m|Бесконечный коридор|В коридоре 100 дверей. Вы открываете каждую вторую, затем каждую третью, затем каждую пятую. Сколько дверей останутся закрытыми? Введите число.

# ================ СЛОЖНЫЕ УРОВНИ (20-25) ================
20|h|Лабиринт Минотавра|В лабиринте 3 выхода. Один ведёт к свободе, два - в ловушку. Три стража знают правду, но один всегда лжёт, один всегда говорит правду, а один отвечает случайно. Можно задать только один вопрос одному стражу. Как найти выход? Опишите вопрос.
21|h|Куб силы|У вас есть куб 3x3x3, составленный из маленьких кубиков. Все внешние грани большого куба покрашены. Сколько маленьких кубиков имеют ровно 3 окрашенные грани? Введите число.
22|h|Испытание разума|5 4 = 23, 3 5 = 34, 2 6 = 38, 4 7 = ? Какое число? Введите число.
23|h|Философский камень|У вас 12 камней, один из которых тяжелее или легче остальных. За 3 взвешивания на чашечных весах определите фальшивый камень и скажите, тяжелее он или легче. Введите номер камня и "тяжелее" или "легче" (например: 5 тяжелее).
24|h|Врата вечности|На вратах написано: "Я лгу". Можно ли войти? Объясните парадокс. Введите "да" или "нет".
25|h|Тайна подземелья|Последняя загадка: что всегда перед вами, но вы никогда этого не видите? Введите ответ одним словом (на русском).
